# PD Controller Data Log (Direct Dynamixel Control)
# Kp: 1.0, Kd: 0.3
# Time(s), Reference(rad), Current(rad), Error(rad), Effort
8.6900, 0.500000, 0.533825, -0.033825, -0.033825
8.7220, 0.500000, 0.533825, -0.033825, -0.033825
8.7540, 0.500000, 0.533825, -0.033825, -0.033825
8.7860, 0.500000, 0.533825, -0.033825, -0.033825
8.8181, 0.500000, 0.533825, -0.033825, -0.033825
8.8500, 0.500000, 0.533825, -0.033825, -0.033825
8.8820, 0.500000, 0.533825, -0.033825, -0.033825
8.9140, 0.500000, 0.533825, -0.033825, -0.033825
8.9460, 0.500000, 0.535359, -0.035359, -0.081379
8.9780, 0.500000, 0.535359, -0.035359, -0.035359
9.0100, 0.500000, 0.533825, -0.033825, 0.012194
9.0420, 0.500000, 0.535359, -0.035359, -0.081379
9.0740, 0.500000, 0.533825, -0.033825, 0.012194
9.1060, 0.500000, 0.533825, -0.033825, -0.033825
9.1380, 0.500000, 0.533825, -0.033825, -0.033825
9.1700, 0.500000, 0.533825, -0.033825, -0.033825
9.2020, 0.500000, 0.535359, -0.035359, -0.081379
9.2340, 0.500000, 0.533825, -0.033825, 0.012194
9.2660, 0.500000, 0.533825, -0.033825, -0.033825
9.2980, 0.500000, 0.533825, -0.033825, -0.033825
9.3300, 0.500000, 0.535359, -0.035359, -0.081379
9.3619, 0.500000, 0.535359, -0.035359, -0.035359
9.3940, 0.500000, 0.535359, -0.035359, -0.035359
9.4259, 0.500000, 0.533825, -0.033825, 0.012194
9.4580, 0.500000, 0.533825, -0.033825, -0.033825
9.4900, 0.500000, 0.533825, -0.033825, -0.033825
9.5219, 0.500000, 0.533825, -0.033825, -0.033825
9.5539, 0.500000, 0.533825, -0.033825, -0.033825
9.5861, 0.500000, 0.533825, -0.033825, -0.033825
9.6181, 0.500000, 0.535359, -0.035359, -0.081379
9.6501, 0.500000, 0.533825, -0.033825, 0.012194
9.6820, 0.500000, 0.533825, -0.033825, -0.033825
9.7140, 0.500000, 0.533825, -0.033825, -0.033825
9.7461, 0.500000, 0.535359, -0.035359, -0.081379
9.7780, 0.500000, 0.533825, -0.033825, 0.012194
9.8101, 0.500000, 0.533825, -0.033825, -0.033825
9.8420, 0.500000, 0.533825, -0.033825, -0.033825
9.8740, 0.500000, 0.533825, -0.033825, -0.033825
9.9060, 0.500000, 0.535359, -0.035359, -0.081379
9.9380, 0.500000, 0.535359, -0.035359, -0.035359
9.9701, 0.500000, 0.535359, -0.035359, -0.035359
10.0020, 0.500000, 0.535359, -0.035359, -0.035359
10.0341, 0.500000, 0.533825, -0.033825, 0.012194
10.0660, 0.500000, 0.535359, -0.035359, -0.081379
10.0980, 0.500000, 0.533825, -0.033825, 0.012194
10.1300, 0.500000, 0.533825, -0.033825, -0.033825
10.1621, 0.500000, 0.535359, -0.035359, -0.081379
10.1940, 0.500000, 0.533825, -0.033825, 0.012194
10.2260, 0.500000, 0.533825, -0.033825, -0.033825
10.2581, 0.500000, 0.533825, -0.033825, -0.033825
10.2900, 0.500000, 0.535359, -0.035359, -0.081379
10.3220, 0.500000, 0.533825, -0.033825, 0.012194
10.3539, 0.500000, 0.533825, -0.033825, -0.033825
10.3860, 0.500000, 0.533825, -0.033825, -0.033825
10.4180, 0.500000, 0.535359, -0.035359, -0.081379
10.4499, 0.500000, 0.533825, -0.033825, 0.012194
10.4820, 0.500000, 0.533825, -0.033825, -0.033825
10.5139, 0.500000, 0.535359, -0.035359, -0.081379
10.5460, 0.500000, 0.533825, -0.033825, 0.012194
10.5779, 0.500000, 0.533825, -0.033825, -0.033825
10.6099, 0.500000, 0.535359, -0.035359, -0.081379
10.6420, 0.500000, 0.533825, -0.033825, 0.012194
10.6741, 0.500000, 0.533825, -0.033825, -0.033825
10.7060, 0.500000, 0.533825, -0.033825, -0.033825
10.7381, 0.500000, 0.535359, -0.035359, -0.081379
10.7700, 0.500000, 0.533825, -0.033825, 0.012194
10.8019, 0.500000, 0.533825, -0.033825, -0.033825
10.8340, 0.500000, 0.533825, -0.033825, -0.033825
10.8660, 0.500000, 0.535359, -0.035359, -0.081379
10.8981, 0.500000, 0.535359, -0.035359, -0.035359
10.9299, 0.500000, 0.535359, -0.035359, -0.035359
10.9620, 0.500000, 0.533825, -0.033825, 0.012194
